year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,,,,,,,,,
2010,2010,CVPR_Sacramento,R_Sacramento,3114859.257,0,0,0,,2010CVPR_SacramentoR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,R_American,R_Sacramento,3114859.257,0,0,0,,2010R_AmericanR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,R_Feather,R_Sacramento,3114859.257,0,0,0,,2010R_FeatherR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,1807217IMP,1807217PD,2023027,0,224,0,,20101807217IMP1807217PD,TRUE,TRUE,TRUE,TRUE,100%,,
2035,2010,R_Sacramento,SFBayDelta,1965798.729,0,0,0,,2035R_SacramentoSFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2030,2010,R_Sacramento,SFBayDelta,1940267.609,0,0,0,,2030R_SacramentoSFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2025,2010,R_Sacramento,SFBayDelta,1906262.578,0,0,0,,2025R_SacramentoSFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2020,2010,R_Sacramento,SFBayDelta,1868303.537,0,0,0,,2020R_SacramentoSFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2015,2010,R_Sacramento,SFBayDelta,1836581.972,0,0,0,,2015R_SacramentoSFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2010,2010,R_Sacramento,SFBayDelta,1668196.472,0,0,0,,2010R_SacramentoSFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,Lk_OrovilleSWP,SW1802SWP01,1587253.879,0,0,0,,2035Lk_OrovilleSWPSW1802SWP01,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,SW1802SWP01,SW1802SWP02,1587253.879,0,0,0,,2035SW1802SWP01SW1802SWP02,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,R_Feather,SWPR_Feather,1577162.98,0,0,0,,2035R_FeatherSWPR_Feather,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,SWPR_Feather,SWPR_Sacramento,1577162.98,0,0,0,,2035SWPR_FeatherSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,R_Sacramento,SWPR_Sacramento,1577162.98,0,0,0,,2035R_SacramentoSWPR_Sacramento,FALSE,TRUE,TRUE,TRUE,101%,,
2035,2010,SWPR_Sacramento,SWP_SFBayDelta,1577162.98,0,0,0,,2035SWPR_SacramentoSWP_SFBayDelta,FALSE,TRUE,TRUE,TRUE,101%,,
