year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,linkID,Ratio lo/med,med trans,med treatment,,lo,,hi,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,HI linkID,ratio hi/med,med trans,med treatment,,Med,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,medlinkID
2015,2010,1807203PD,1807203E,550204.2,163.1,0,0,20151807203PD1807203E,1,163.1,0,,,,,2010,2010,1807161REC,GWR1807-8-02.01,7208,1087,1095,0,20101807161RECGWR1807-8-02.01,0.919123842,1279,1095,,,2035,2010,R_Feather,R_Sacramento,6275970.908,0,0,0,2035R_FeatherR_Sacramento
2010,2010,1807203PD,1807203E,507910.275,163.1,0,0,20101807203PD1807203E,1,163.1,0,,,,,2010,2010,SW_CRA,1807217IMP,968750,2000,0,0,2010SW_CRA1807217IMP,1,2000,0,,,2015,2010,LK_ShastaCVP,CVPR_Sacramento,6230617.173,0,0,0,2015LK_ShastaCVPCVPR_Sacramento
2035,2010,SW1805081SYS,SW1805081EB,439947.9774,0.7,0,0,2035SW1805081SYSSW1805081EB,1,0.7,0,,,,,2030,2010,1807203PD,1807203E,589266.95,163.1,0,0,20301807203PD1807203E,1,163.1,0,,,2030,2010,CVPR_Sacramento,R_Sacramento,6209497.008,0,0,0,2030CVPR_SacramentoR_Sacramento
2030,2010,SW1805081SYS,SW1805081EB,435038.5609,0.7,0,0,2030SW1805081SYSSW1805081EB,1,0.7,0,,,,,2035,2010,1807203PD,1807203E,586974.72,163.1,0,0,20351807203PD1807203E,1,163.1,0,,,2030,2010,R_American,R_Sacramento,6209497.008,0,0,0,2030R_AmericanR_Sacramento
2025,2010,SW1805081SYS,SW1805081EB,424338.0072,0.7,0,0,2025SW1805081SYSSW1805081EB,1,0.7,0,,,,,2025,2010,1807203PD,1807203E,580224.4,163.1,0,0,20251807203PD1807203E,1,163.1,0,,,2030,2010,R_Feather,R_Sacramento,6209497.008,0,0,0,2030R_FeatherR_Sacramento
2020,2010,SW1805081SYS,SW1805081EB,414479.0275,0.7,0,0,2020SW1805081SYSSW1805081EB,1,0.7,0,,,,,2020,2010,1807203PD,1807203E,571789.4,163.1,0,0,20201807203PD1807203E,1,163.1,0,,,2020,2010,R_AmericanNFRK,R_American,6198629.865,0,0,0,2020R_AmericanNFRKR_American
2015,2010,SW1805081SYS,SW1805081EB,411941.9792,0.7,0,0,2015SW1805081SYSSW1805081EB,1,0.7,0,,,,,2015,2010,1807203PD,1807203E,550204.2,163.1,0,0,20151807203PD1807203E,1,163.1,0,,,2020,2010,R_AmericanSFRK,R_American,6198629.865,0,0,0,2020R_AmericanSFRKR_American
2010,2010,SW1805081SYS,SW1805081EB,378262.4986,0.7,0,0,2010SW1805081SYSSW1805081EB,1,0.7,0,,,,,2010,2010,1807203PD,1807203E,507910.275,163.1,0,0,20101807203PD1807203E,1,163.1,0,,,2015,2010,R_AmericanNFRK,R_American,6155550.796,0,0,0,2015R_AmericanNFRKR_American
2035,2010,GW1807-8-01,1807246GW,302359.7909,579,0,0,2035GW1807-8-011807246GW,1,579,0,,,,,2035,2010,SW1805081SYS,SW1805081EB,439947.9774,0.7,0,0,2035SW1805081SYSSW1805081EB,1,0.7,0,,,2015,2010,R_AmericanSFRK,R_American,6155550.796,0,0,0,2015R_AmericanSFRKR_American
2030,2010,GW1807-8-01,1807246GW,300203.1314,579,0,0,2030GW1807-8-011807246GW,1,579,0,,,,,2030,2010,SW1805081SYS,SW1805081EB,435038.5609,0.7,0,0,2030SW1805081SYSSW1805081EB,1,0.7,0,,,2025,2010,CVPR_Sacramento,R_Sacramento,6152407.018,0,0,0,2025CVPR_SacramentoR_Sacramento
