year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,linkID,Ratio lo/med,med trans,med treatment,,lo,,hi,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,HI linkID,ratio hi/med,med trans,med treatment,,Med,year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af,medlinkID
2025,2010,1807155NPD,1807155E,51,195.72,0,0,20251807155NPD1807155E,1,195.72,0,,,,,2025,2010,1802053NPD,1802053E,200,21.12,0,0,20251802053NPD1802053E,1,21.12,0,,,2020,2010,1805059PD,1805059E,10450.98322,318.2,0,0,20201805059PD1805059E
2030,2010,1807155NPD,1807155E,51,195.72,0,0,20301807155NPD1807155E,1,195.72,0,,,,,2035,2010,1806059NPD,1806059E,200,195.72,0,0,20351806059NPD1806059E,1,195.72,0,,,2020,2010,SW1806065,1806065PD,10449.90989,87,224,0,2020SW18060651806065PD
2010,2010,1807237NPD,1807237E,51,195.72,0,0,20101807237NPD1807237E,1,195.72,0,,,,,2035,2010,1807253NPD,1807253E,195,195.72,0,0,20351807253NPD1807253E,1,195.72,0,,,2010,2010,CRK_LYTL,1807317PD,10436.09284,18,83,0,2010CRK_LYTL1807317PD
2015,2010,1807237NPD,1807237E,51,195.72,0,0,20151807237NPD1807237E,1,195.72,0,,,,,2010,2010,1805061NPD,1805061E,194.5,381.84,0,0,20101805061NPD1805061E,1,381.84,0,,,2010,2010,1807231PD,1807231E,10434.96,163.1,0,0,20101807231PD1807231E
2020,2010,1807237NPD,1807237E,51,195.72,0,0,20201807237NPD1807237E,1,195.72,0,,,,,2015,2010,1806071NPD,1806071E,191,195.72,0,0,20151806071NPD1806071E,1,195.72,0,,,2030,2010,1807229PD,1807245PD,10430.61718,25,0,0,20301807229PD1807245PD
2025,2010,1807237NPD,1807237E,51,195.72,0,0,20251807237NPD1807237E,1,195.72,0,,,,,2010,2010,SW1803013,1803013PD,190.9140271,87,1000,0,2010SW18030131803013PD,1,87,1000,,,2010,2010,1807001PD,1807001E,10423,163.1,0,0,20101807001PD1807001E
2030,2010,1807237NPD,1807237E,51,195.72,0,0,20301807237NPD1807237E,1,195.72,0,,,,,2015,2010,GW1807-8-02.08,1807419GW,185.6878842,579,0,0,2015GW1807-8-02.081807419GW,1,579,0,,,2025,2010,GW1802-5-21.66,1802099PD,10418.93699,191,26,0,2025GW1802-5-21.661802099PD
2035,2010,1807237NPD,1807237E,51,195.72,0,0,20351807237NPD1807237E,1,195.72,0,,,,,2010,2010,1807099NPD,1807099E,185,195.72,0,0,20101807099NPD1807099E,1,195.72,0,,,2030,2010,GW1809-6-42,1809001PD,10407.59471,362,181.75,0,2030GW1809-6-421809001PD
2015,2010,1807013NPD,1807013E,50.5,195.72,0,0,20151807013NPD1807013E,1,195.72,0,,,,,2020,2010,GW1807-8-02.08,1807419GW,184.1954642,579,0,0,2020GW1807-8-02.081807419GW,1,579,0,,,2030,2010,1809001PD,1809001E,10407.59471,163.1,0,0,20301809001PD1809001E
2015,2010,1807053NPD,1807053E,50,195.72,0,0,20151807053NPD1807053E,1,195.72,0,,,,,2025,2010,GW1807-8-02.08,1807419GW,182.1983034,579,0,0,2025GW1807-8-02.081807419GW,1,579,0,,,2030,2010,1810007PD,1810007E,10405.64,17.6,0,0,20301810007PD1810007E
2025,2010,1803027NPD,1803027E,50,21.12,0,0,20251803027NPD1803027E,1,21.12,0,,,,,2030,2010,GW1807-8-02.08,1807419GW,180.937319,579,0,0,2030GW1807-8-02.081807419GW,1,579,0,,,2035,2010,1810007PD,1810007E,10405.64,17.6,0,0,20351810007PD1810007E
2020,2010,1805033NPD,1805033E,50,381.84,0,0,20201805033NPD1805033E,1,381.84,0,,,,,2015,2010,GW1807309c,1807035BDSL,180.1210036,579,0,0,2015GW1807309c1807035BDSL,1,579,0,,,2010,2010,GW1807-8-02.04,1807065PD,10402,579,181.75,0,2010GW1807-8-02.041807065PD
2025,2010,1805033NPD,1805033E,50,381.84,0,0,20251805033NPD1805033E,1,381.84,0,,,,,2035,2010,GW1807-8-02.08,1807419GW,178.2043707,579,0,0,2035GW1807-8-02.081807419GW,1,579,0,,,2015,2010,1807391PD,1807391E,10399.04,163.1,0,0,20151807391PD1807391E
2030,2010,1805033NPD,1805033E,50,381.84,0,0,20301805033NPD1805033E,1,381.84,0,,,,,2030,2010,1806059NPD,1806059E,175,195.72,0,0,20301806059NPD1806059E,1,195.72,0,,,2010,2010,1807407PD,1807032PD,10396.93764,25,0,0,20101807407PD1807032PD
2035,2010,1805033NPD,1805033E,50,381.84,0,0,20351805033NPD1805033E,1,381.84,0,,,,,2035,2010,1807032NPD,1807032E,169,195.72,0,0,20351807032NPD1807032E,1,195.72,0,,,2025,2010,GW1807309a,1807035BDSL,10393.47441,579,0,0,2025GW1807309a1807035BDSL
2015,2010,1807117NPD,1807117E,50,195.72,0,0,20151807117NPD1807117E,1,195.72,0,,,,,2010,2010,1805009NPD,1805009E,168,381.84,0,0,20101805009NPD1805009E,1,381.84,0,,,2025,2010,1807397PD,1807397E,10392.56,163.1,0,0,20251807397PD1807397E
2020,2010,1807117NPD,1807117E,50,195.72,0,0,20201807117NPD1807117E,1,195.72,0,,,,,2015,2010,1805009NPD,1805009E,168,381.84,0,0,20151805009NPD1805009E,1,381.84,0,,,2020,2010,1807099PD,1807099E,10384.08,163.1,0,0,20201807099PD1807099E
2025,2010,1807117NPD,1807117E,50,195.72,0,0,20251807117NPD1807117E,1,195.72,0,,,,,2020,2010,1805009NPD,1805009E,168,381.84,0,0,20201805009NPD1805009E,1,381.84,0,,,2030,2010,1810021IMP,1810009PD,10380,25,224,0,20301810021IMP1810009PD
2030,2010,1807117NPD,1807117E,50,195.72,0,0,20301807117NPD1807117E,1,195.72,0,,,,,2025,2010,1805009NPD,1805009E,168,381.84,0,0,20251805009NPD1805009E,1,381.84,0,,,2035,2010,1810021IMP,1810009PD,10380,25,224,0,20351810021IMP1810009PD
2035,2010,1807117NPD,1807117E,50,195.72,0,0,20351807117NPD1807117E,1,195.72,0,,,,,2030,2010,1805009NPD,1805009E,168,381.84,0,0,20301805009NPD1805009E,1,381.84,0,,,2010,2010,1807217IMP,1807285PD,10374.65771,25,224,0,20101807217IMP1807285PD
2020,2010,1807051NPD,1807202E,50,195.72,0,0,20201807051NPD1807202E,1,195.72,0,,,,,2035,2010,1805009NPD,1805009E,168,381.84,0,0,20351805009NPD1805009E,1,381.84,0,,,2010,2010,SW1805081EB,1805003PD,10373.19588,0,26,0,2010SW1805081EB1805003PD
2025,2010,1807051NPD,1807202E,50,195.72,0,0,20251807051NPD1807202E,1,195.72,0,,,,,2035,2010,GW1810-7-62,1810035E,167,476,0,0,2035GW1810-7-621810035E,1,476,0,,,2030,2010,1807161BDSL,1807165PD,10366.52977,25,758,0,20301807161BDSL1807165PD
2030,2010,1807051NPD,1807202E,50,195.72,0,0,20301807051NPD1807202E,1,195.72,0,,,,,2030,2010,1807032NPD,1807032E,166,195.72,0,0,20301807032NPD1807032E,1,195.72,0,,,2025,2010,1807161BDSL,1807165PD,10364.75748,25,758,0,20251807161BDSL1807165PD
2035,2010,1807051NPD,1807202E,50,195.72,0,0,20351807051NPD1807202E,1,195.72,0,,,,,2010,2010,1802099NPD,1802099E,162.5,21.12,0,0,20101802099NPD1802099E,1,21.12,0,,,2020,2010,1807161BDSL,1807165PD,10362.90974,25,758,0,20201807161BDSL1807165PD
2010,2010,1807013NPD,1807013E,49.5,195.72,0,0,20101807013NPD1807013E,1,195.72,0,,,,,2025,2010,1807032NPD,1807032E,162,195.72,0,0,20251807032NPD1807032E,1,195.72,0,,,2010,2010,1807229PD,1807153PD,10361.06271,25,0,0,20101807229PD1807153PD
2015,2010,1807415NPD,1807415E,45,195.72,0,0,20151807415NPD1807415E,1,195.72,0,,,,,2020,2010,1807103NPD,1807103E,160,195.72,0,0,20201807103NPD1807103E,1,195.72,0,,,2025,2010,SW1805081PEN,1805077PD,10360,25,26,0,2025SW1805081PEN1805077PD
2020,2010,1807415NPD,1807415E,45,195.72,0,0,20201807415NPD1807415E,1,195.72,0,,,,,2020,2010,1807032NPD,1807032E,159,195.72,0,0,20201807032NPD1807032E,1,195.72,0,,,2030,2010,GW1805-2-09.02,1805083PD,10356.49032,594,128,0,2030GW1805-2-09.021805083PD
2025,2010,1807415NPD,1807415E,45,195.72,0,0,20251807415NPD1807415E,1,195.72,0,,,,,2030,2010,GW1810-7-62,1810035E,158,476,0,0,2030GW1810-7-621810035E,1,476,0,,,2020,2010,1803041PD,1803083PD,10356.09453,25,0,0,20201803041PD1803083PD
2030,2010,1807415NPD,1807415E,45,195.72,0,0,20301807415NPD1807415E,1,195.72,0,,,,,2015,2010,1807032NPD,1807032E,155,195.72,0,0,20151807032NPD1807032E,1,195.72,0,,,2020,2010,1807375PD,1807375E,10351.68,163.1,0,0,20201807375PD1807375E
2035,2010,1807415NPD,1807415E,45,195.72,0,0,20351807415NPD1807415E,1,195.72,0,,,,,2015,2010,1807047NPD,1807047E,151,195.72,0,0,20151807047NPD1807047E,1,195.72,0,,,2020,2010,GW1807-4-12,1807025PD,10351.22558,579,181.75,0,2020GW1807-4-121807025PD
2015,2010,1807398NPD,1807398E,40,195.72,0,0,20151807398NPD1807398E,1,195.72,0,,,,,2020,2010,1807005NPD,1807005E,150,195.72,0,0,20201807005NPD1807005E,1,195.72,0,,,2010,2010,1807065PD,1807065E,10350,163.1,0,0,20101807065PD1807065E
2010,2010,1807415NPD,1807415E,34.5,195.72,0,0,20101807415NPD1807415E,1,195.72,0,,,,,2025,2010,1806059NPD,1806059E,150,195.72,0,0,20251806059NPD1806059E,1,195.72,0,,,2015,2010,1807161BDSL,1807165PD,10347.65652,25,758,0,20151807161BDSL1807165PD
2010,2010,1809025NPD,1809025E,32,195.72,0,0,20101809025NPD1809025E,1,195.72,0,,,,,2015,2010,1807331NPD,1807331E,150,195.72,0,0,20151807331NPD1807331E,1,195.72,0,,,2015,2010,GW1803-5-22.14,1803025PD,10345.23493,408.975,181.75,0,2015GW1803-5-22.141803025PD
2010,2010,1807398NPD,1807398E,30,195.72,0,0,20101807398NPD1807398E,1,195.72,0,,,,,2020,2010,1807331NPD,1807331E,150,195.72,0,0,20201807331NPD1807331E,1,195.72,0,,,2015,2010,1806065PD,1806065E,10337.49804,163.1,0,0,20151806065PD1806065E
2010,2010,1807117NPD,1807117E,28,195.72,0,0,20101807117NPD1807117E,1,195.72,0,,,,,2025,2010,1807331NPD,1807331E,150,195.72,0,0,20251807331NPD1807331E,1,195.72,0,,,2035,2010,RES1804009,1804009E,10337,87,0,0,2035RES18040091804009E
2035,2010,1807155NPD,1807155E,25.5,195.72,0,0,20351807155NPD1807155E,1,195.72,0,,,,,2030,2010,1807331NPD,1807331E,150,195.72,0,0,20301807331NPD1807331E,1,195.72,0,,,2035,2010,1807407PD,1807032PD,10334.84328,25,0,0,20351807407PD1807032PD
2020,2010,1803027NPD,1803027E,25,21.12,0,0,20201803027NPD1803027E,1,21.12,0,,,,,2035,2010,1807331NPD,1807331E,150,195.72,0,0,20351807331NPD1807331E,1,195.72,0,,,2025,2010,CVP_CCC,1804017PD,10328.12419,25,0,0,2025CVP_CCC1804017PD
2035,2010,1805091NPD,1805091E,25,381.84,0,0,20351805091NPD1805091E,1,381.84,0,,,,,2015,2010,1803069NPD,1803069E,150,21.12,0,0,20151803069NPD1803069E,1,21.12,0,,,2030,2010,GW1804-5-22.01,1804031PD,10324.28571,265.7025,26,0,2030GW1804-5-22.011804031PD
2010,2010,1807391NPD,1807391E,22,195.72,0,0,20101807391NPD1807391E,1,195.72,0,,,,,2020,2010,1803069NPD,1803069E,150,21.12,0,0,20201803069NPD1803069E,1,21.12,0,,,2030,2010,1810009PD,1810009E,10323.95,17.6,0,0,20301810009PD1810009E
2010,2010,1804005NPD,1804005E,17.5,21.12,0,0,20101804005NPD1804005E,1,21.12,0,,,,,2025,2010,1803069NPD,1803069E,150,21.12,0,0,20251803069NPD1803069E,1,21.12,0,,,2035,2010,1810009PD,1810009E,10323.95,17.6,0,0,20351810009PD1810009E
2015,2010,1804005NPD,1804005E,17.5,21.12,0,0,20151804005NPD1804005E,1,21.12,0,,,,,2030,2010,1803069NPD,1803069E,150,21.12,0,0,20301803069NPD1803069E,1,21.12,0,,,2025,2010,GW1803-5-22.14,1803081PD,10322,429.42375,181.75,0,2025GW1803-5-22.141803081PD
2020,2010,1804005NPD,1804005E,17.5,21.12,0,0,20201804005NPD1804005E,1,21.12,0,,,,,2035,2010,1803069NPD,1803069E,150,21.12,0,0,20351803069NPD1803069E,1,21.12,0,,,2020,2010,GW1804-5-22.07,1804033PD,10321,253.05,26,0,2020GW1804-5-22.071804033PD
2025,2010,1804005NPD,1804005E,17.5,21.12,0,0,20251804005NPD1804005E,1,21.12,0,,,,,2010,2010,1806071NPD,1806071E,149,195.72,0,0,20101806071NPD1806071E,1,195.72,0,,,2015,2010,1807375PD,1807139PD,10318.33509,25,0,0,20151807375PD1807139PD
2030,2010,1804005NPD,1804005E,17.5,21.12,0,0,20301804005NPD1804005E,1,21.12,0,,,,,2025,2010,GW1810-7-62,1810035E,148,476,0,0,2025GW1810-7-621810035E,1,476,0,,,2035,2010,WWT1807197a,1807197REC,10315.78947,108,0,0,2035WWT1807197a1807197REC
2035,2010,1804005NPD,1804005E,17.5,21.12,0,0,20351804005NPD1804005E,1,21.12,0,,,,,2035,2010,1807207NPD,1807207E,140,195.72,0,0,20351807207NPD1807207E,1,195.72,0,,,2020,2010,1807095NPD,1807095E,10306,355.7188628,0,0,20201807095NPD1807095E
2015,2010,1805057NPD,1805057E,14,381.84,0,0,20151805057NPD1805057E,1,381.84,0,,,,,2015,2010,1805075NPD,1805075E,140,381.84,0,0,20151805075NPD1805075E,1,381.84,0,,,2020,2010,1804033PD,1804033E,10304.92,17.6,0,0,20201804033PD1804033E
2020,2010,1805057NPD,1805057E,14,381.84,0,0,20201805057NPD1805057E,1,381.84,0,,,,,2020,2010,GW1810-7-62,1810035E,138,476,0,0,2020GW1810-7-621810035E,1,476,0,,,2015,2010,GW1807-4-23,1807257PD,10304,579,181.75,0,2015GW1807-4-231807257PD
2025,2010,1805057NPD,1805057E,14,381.84,0,0,20251805057NPD1805057E,1,381.84,0,,,,,2010,2010,1807032NPD,1807032E,134,195.72,0,0,20101807032NPD1807032E,1,195.72,0,,,2030,2010,SW1805025,1805025PD,10303.03996,87,344,0,2030SW18050251805025PD
2030,2010,1805057NPD,1805057E,14,381.84,0,0,20301805057NPD1805057E,1,381.84,0,,,,,2010,2010,1807119NPD,1807119E,130,195.72,0,0,20101807119NPD1807119E,1,195.72,0,,,2025,2010,1805077PD,1805077E,10284.12,318.2,0,0,20251805077PD1805077E
2035,2010,1805057NPD,1805057E,14,381.84,0,0,20351805057NPD1805057E,1,381.84,0,,,,,2015,2010,1807119NPD,1807119E,130,195.72,0,0,20151807119NPD1807119E,1,195.72,0,,,2015,2010,1807246GW,1807233PD,10275,0,26,0,20151807246GW1807233PD
2035,2010,1805099NPD,1805099E,12.5,381.84,0,0,20351805099NPD1805099E,1,381.84,0,,,,,2020,2010,1807119NPD,1807119E,130,195.72,0,0,20201807119NPD1807119E,1,195.72,0,,,2010,2010,SW1805SWP05,SW1805SWP05c,10268.26799,430.896951,0,0,2010SW1805SWP05SW1805SWP05c
2015,2010,1807223NPD,1807223E,9.5,195.72,0,0,20151807223NPD1807223E,1,195.72,0,,,,,2025,2010,1807119NPD,1807119E,130,195.72,0,0,20251807119NPD1807119E,1,195.72,0,,,2015,2010,1807407PD,1807199PD,10267,25,0,0,20151807407PD1807199PD
2020,2010,1807223NPD,1807223E,9.5,195.72,0,0,20201807223NPD1807223E,1,195.72,0,,,,,2030,2010,1807119NPD,1807119E,130,195.72,0,0,20301807119NPD1807119E,1,195.72,0,,,2025,2010,1807335PD,1807335E,10263.52,163.1,0,0,20251807335PD1807335E
2025,2010,1807223NPD,1807223E,9.5,195.72,0,0,20251807223NPD1807223E,1,195.72,0,,,,,2035,2010,1807119NPD,1807119E,130,195.72,0,0,20351807119NPD1807119E,1,195.72,0,,,2010,2010,1807041PD,1807250PD,10263.47579,25,0,0,20101807041PD1807250PD
2030,2010,1807223NPD,1807223E,9.5,195.72,0,0,20301807223NPD1807223E,1,195.72,0,,,,,2010,2010,1807239NPD,1807239E,130,195.72,0,0,20101807239NPD1807239E,1,195.72,0,,,2015,2010,1803025PD,1803025E,10236.8,17.6,0,0,20151803025PD1803025E
2035,2010,1807223NPD,1807223E,9.5,195.72,0,0,20351807223NPD1807223E,1,195.72,0,,,,,2010,2010,1807285NPD,1807285E,130,195.72,0,0,20101807285NPD1807285E,1,195.72,0,,,2015,2010,1807229PD,1807245PD,10227.98284,25,0,0,20151807229PD1807245PD
2010,2010,1805057NPD,1805057E,7.5,381.84,0,0,20101805057NPD1805057E,1,381.84,0,,,,,2020,2010,1807003NPD,1807003E,127.5,195.72,0,0,20201807003NPD1807003E,1,195.72,0,,,2010,2010,1807015PD,1807015E,10227.36,163.1,0,0,20101807015PD1807015E
2010,2010,1806035NPD,1806035E,6,195.72,0,0,20101806035NPD1806035E,1,195.72,0,,,,,2025,2010,1807003NPD,1807003E,127.5,195.72,0,0,20251807003NPD1807003E,1,195.72,0,,,2020,2010,SW1802105,1802105PD,10217.4105,87,224,0,2020SW18021051802105PD
2015,2010,1806035NPD,1806035E,6,195.72,0,0,20151806035NPD1806035E,1,195.72,0,,,,,2030,2010,1807003NPD,1807003E,127.5,195.72,0,0,20301807003NPD1807003E,1,195.72,0,,,2035,2010,GW1807-8-02.01,1807165BDSL,10216.64114,579,0,0,2035GW1807-8-02.011807165BDSL
2020,2010,1806035NPD,1806035E,6,195.72,0,0,20201806035NPD1806035E,1,195.72,0,,,,,2035,2010,1807003NPD,1807003E,127.5,195.72,0,0,20351807003NPD1807003E,1,195.72,0,,,2035,2010,1807165BDSL,1807165PD,10216.64114,0,758,0,20351807165BDSL1807165PD
2025,2010,1806035NPD,1806035E,6,195.72,0,0,20251806035NPD1806035E,1,195.72,0,,,,,2020,2010,1806059NPD,1806059E,125,195.72,0,0,20201806059NPD1806059E,1,195.72,0,,,2030,2010,1804061XF,1804065PD,10212.30137,87,224,0,20301804061XF1804065PD
2030,2010,1806035NPD,1806035E,6,195.72,0,0,20301806035NPD1806035E,1,195.72,0,,,,,2010,2010,GWR1803-5-28,1803035GW,124.8412698,749,1095,0,2010GWR1803-5-281803035GW,1,749,1095,,,2035,2010,1804061XF,1804065PD,10212.30137,87,224,0,20351804061XF1804065PD
2015,2010,1801007NPD,1801007E,4,195.72,0,0,20151801007NPD1801007E,1,195.72,0,,,,,2015,2010,GW1810-7-62,1810035E,124,476,0,0,2015GW1810-7-621810035E,1,476,0,,,2035,2010,WOODLAND_XF,WDLDDAV_CWA,10210.34783,25,0,0,2035WOODLAND_XFWDLDDAV_CWA
2020,2010,1801007NPD,1801007E,4,195.72,0,0,20201801007NPD1801007E,1,195.72,0,,,,,2020,2010,GW1807-4-11.02,1807015BDSL,122.1531862,579,0,0,2020GW1807-4-11.021807015BDSL,1,579,0,,,2035,2010,WDLDDAV_CWA,1802027PD,10210.34783,87,224,0,2035WDLDDAV_CWA1802027PD
2025,2010,1801007NPD,1801007E,4,195.72,0,0,20251801007NPD1801007E,1,195.72,0,,,,,2015,2010,1807043NPD,1807043E,119.5,195.72,0,0,20151807043NPD1807043E,1,195.72,0,,,2025,2010,1803081PD,1803081E,10207.41,17.6,0,0,20251803081PD1803081E
2030,2010,1801007NPD,1801007E,4,195.72,0,0,20301801007NPD1801007E,1,195.72,0,,,,,2020,2010,1807043NPD,1807043E,119.5,195.72,0,0,20201807043NPD1807043E,1,195.72,0,,,2020,2010,WWT1807023a,1807203REC,10200,108,0,0,2020WWT1807023a1807203REC
2035,2010,1806035NPD,1806035E,3,195.72,0,0,20351806035NPD1806035E,1,195.72,0,,,,,2025,2010,1807043NPD,1807043E,119.5,195.72,0,0,20251807043NPD1807043E,1,195.72,0,,,2035,2010,1809031PD,1809031E,10200,163.1,0,0,20351809031PD1809031E
2035,2010,1801007NPD,1801007E,2,195.72,0,0,20351801007NPD1801007E,1,195.72,0,,,,,2030,2010,1807043NPD,1807043E,119.5,195.72,0,0,20301807043NPD1807043E,1,195.72,0,,,2020,2010,1807407PD,1807199PD,10199,25,0,0,20201807407PD1807199PD
2015,2010,SWP_YBACRD,1805001E,0.688890649,318.2,0,0,2015SWP_YBACRD1805001E,1,318.2,0,,,,,2035,2010,1807043NPD,1807043E,119.5,195.72,0,0,20351807043NPD1807043E,1,195.72,0,,,2025,2010,SW1805081EB,1805095PD,10197.75134,87,224,0,2025SW1805081EB1805095PD
2020,2010,SWP_YBACRD,1805001E,0.688890649,318.2,0,0,2020SWP_YBACRD1805001E,1,318.2,0,,,,,2030,2010,SW1801015,1801015E,112,163.1,0,0,2030SW18010151801015E,1,163.1,0,,,2030,2010,GW1807309a,1807035BDSL,10195.28497,579,0,0,2030GW1807309a1807035BDSL
2025,2010,SWP_YBACRD,1805001E,0.688890649,318.2,0,0,2025SWP_YBACRD1805001E,1,318.2,0,,,,,2015,2010,1807003NPD,1807003E,110,195.72,0,0,20151807003NPD1807003E,1,195.72,0,,,2025,2010,1804009PD,1804009E,10190.2,17.6,0,0,20251804009PD1804009E
2010,2010,1806077NPD,1806077E,0.5,195.72,0,0,20101806077NPD1806077E,1,195.72,0,,,,,2010,2010,1807289REC,1807289NPD,106,0,417,0,20101807289REC1807289NPD,1,0,417,,,2030,2010,GW1803-5-22,GW1804-5-22.15,10174.39072,0,0,0,2030GW1803-5-22GW1804-5-22.15
2035,2010,XF1802013,1802013PD,320.8069565,10,1000,0,2035XF18020131802013PD,0.985365854,25,1000,,,,,2010,2010,1807289NPD,1807289E,106,195.72,0,0,20101807289NPD1807289E,1,195.72,0,,,2030,2010,GW1804-5-22,GW1804-5-22.15,10174.39072,0,0,0,2030GW1804-5-22GW1804-5-22.15
2030,2010,XF1802013,1802013PD,316.1130742,10,1000,0,2030XF18020131802013PD,0.985365854,25,1000,,,,,2010,2010,1806017PD,1806017E,105.18,163.1,0,0,20101806017PD1806017E,1,163.1,0,,,2010,2010,1807375PD,1807289PD,10172.03647,25,0,0,20101807375PD1807289PD
2015,2010,XF1802013,1802013PD,311.9964029,10,1000,0,2015XF18020131802013PD,0.985365854,25,1000,,,,,2035,2010,1807147NPD,1807147E,103,195.72,0,0,20351807147NPD1807147E,1,195.72,0,,,2020,2010,1806067GW,1806067PD,10171.05695,0,90.97724422,0,20201806067GW1806067PD
2025,2010,XF1802013,1802013PD,311.4183124,10,1000,0,2025XF18020131802013PD,0.985365854,25,1000,,,,,2030,2010,1807147NPD,1807147E,102,195.72,0,0,20301807147NPD1807147E,1,195.72,0,,,2015,2010,1807199PD,1807199E,10163.7,163.1,0,0,20151807199PD1807199E
2020,2010,XF1802013,1802013PD,305.62,10,1000,0,2020XF18020131802013PD,0.985365854,25,1000,,,,,2010,2010,GW1810-7-62,1810035E,102,476,0,0,2010GW1810-7-621810035E,1,476,0,,,2030,2010,SW1805SWP08,1805003PD,10117.23027,83.9285,224,0,2030SW1805SWP081805003PD
2010,2010,XF1802013,1802013PD,233.1462264,10,1000,0,2010XF18020131802013PD,0.985365854,25,1000,,,,,2010,2010,1806031NPD,1806031E,101.5,195.72,0,0,20101806031NPD1806031E,1,195.72,0,,,2020,2010,1801027PD,1805071PD,10113,25,0,0,20201801027PD1805071PD
2035,2010,GW1807131,1807131PD,2295.447133,1436,3,0,2035GW18071311807131PD,0.984268126,1436,26,,,,,2020,2010,1807147NPD,1807147E,101,195.72,0,0,20201807147NPD1807147E,1,195.72,0,,,2020,2010,1806051PD,1806051E,10110.8,163.1,0,0,20201806051PD1806051E
2030,2010,GW1807131,1807131PD,2215.905858,1436,3,0,2030GW18071311807131PD,0.984268126,1436,26,,,,,2025,2010,1807147NPD,1807147E,101,195.72,0,0,20251807147NPD1807147E,1,195.72,0,,,2010,2010,SW1807279,1807279PD,10100.59792,87,224,0,2010SW18072791807279PD
2025,2010,GW1807131,1807131PD,2132.737912,1436,3,0,2025GW18071311807131PD,0.984268126,1436,26,,,,,2035,2010,GWR1807-4-12,1807025E,100,163.1,0,0,2035GWR1807-4-121807025E,1,163.1,0,,,2015,2010,WWT1807197a,1807197REC,10100,108,0,0,2015WWT1807197a1807197REC
2020,2010,GW1807131,1807131PD,2036.6,1436,3,0,2020GW18071311807131PD,0.984268126,1436,26,,,,,2035,2010,1803027NPD,1803027E,100,21.12,0,0,20351803027NPD1803027E,1,21.12,0,,,2015,2010,1807197REC,1807197NPD,10100,0,236,0,20151807197REC1807197NPD
2015,2010,GW1807131,1807131PD,1922.667182,1436,3,0,2015GW18071311807131PD,0.984268126,1436,26,,,,,2015,2010,1807147NPD,1807147E,100,195.72,0,0,20151807147NPD1807147E,1,195.72,0,,,2015,2010,1807197NPD,1807197E,10100,195.72,0,0,20151807197NPD1807197E
2010,2010,GW1807131,1807131PD,1543.119641,1436,3,0,2010GW18071311807131PD,0.984268126,1436,26,,,,,2015,2010,1807179NPD,1807179E,100,195.72,0,0,20151807179NPD1807179E,1,195.72,0,,,2020,2010,1807199PD,1807199E,10098,163.1,0,0,20201807199PD1807199E
2035,2010,GW1805-2-04,1805039PD,239.7179044,1169,3,0,2035GW1805-2-041805039PD,0.980753138,1169,26,,,,,2015,2010,1807231NPD,1807231E,100,195.72,0,0,20151807231NPD1807231E,1,195.72,0,,,2025,2010,GW-8,GW1807-8-05,10091.16133,0,0,0,2025GW-8GW1807-8-05
2015,2010,GW1805-2-04,1805039PD,239.6751269,1169,3,0,2015GW1805-2-041805039PD,0.980753138,1169,26,,,,,2015,2010,1807265NPD,1807265E,100,195.72,0,0,20151807265NPD1807265E,1,195.72,0,,,2010,2010,1807217IMP,1807103PD,10090,25,224,0,20101807217IMP1807103PD
2030,2010,GW1805-2-04,1805039PD,239.6682464,1169,3,0,2030GW1805-2-041805039PD,0.980753138,1169,26,,,,,2015,2010,1806059NPD,1806059E,100,195.72,0,0,20151806059NPD1806059E,1,195.72,0,,,2030,2010,1805025PD,1805073PD,10082.97611,25,0,0,20301805025PD1805073PD
2025,2010,GW1805-2-04,1805039PD,239.6604002,1169,3,0,2025GW1805-2-041805039PD,0.980753138,1169,26,,,,,2010,2010,1801031NPD,1801031E,100,195.72,0,0,20101801031NPD1801031E,1,195.72,0,,,2010,2010,WWT1805031,1805031REC,10080,108,0,0,2010WWT18050311805031REC
2020,2010,GW1805-2-04,1805039PD,239.6305732,1169,3,0,2020GW1805-2-041805039PD,0.980753138,1169,26,,,,,2010,2010,1807331NPD,1807331E,98,195.72,0,0,20101807331NPD1807331E,1,195.72,0,,,2010,2010,1805031REC,1805031NPD,10080,0,236,0,20101805031REC1805031NPD
2010,2010,GW1805-2-04,1805039PD,205.370032,1169,3,0,2010GW1805-2-041805039PD,0.980753138,1169,26,,,,,2010,2010,1803033NPD,1803033E,88,21.12,0,0,20101803033NPD1803033E,1,21.12,0,,,2010,2010,1805031NPD,1805031E,10080,381.84,0,0,20101805031NPD1805031E
2030,2010,GW1807-8-02.01,1807165PD,1662.250513,579,6.642353579,0,2030GW1807-8-02.011807165PD,0.980267337,579,18.43126356,,,,,2015,2010,1807187NPD,1807187E,88,195.72,0,0,20151807187NPD1807187E,1,195.72,0,,,2010,2010,1803041PD,1803083PD,10061.37785,25,0,0,20101803041PD1803083PD
