year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
2035,2010,R_AmericanMFRK,R_AmericanNFRK,3941579.097,0,0,0
2030,2010,R_AmericanMFRK,R_AmericanNFRK,3887064.952,0,0,0
2025,2010,R_AmericanMFRK,R_AmericanNFRK,3823419.752,0,0,0
2035,2010,LK_ShastaCVP,CVPR_Sacramento,3806853.289,0,0,0
2030,2010,LK_ShastaCVP,CVPR_Sacramento,3758496.882,0,0,0
2020,2010,R_AmericanMFRK,R_AmericanNFRK,3747431.413,0,0,0
2015,2010,R_AmericanMFRK,R_AmericanNFRK,3704707.008,0,0,0
2035,2010,R_AmericanNFRK,R_American,3703231.568,0,0,0
2035,2010,R_AmericanSFRK,R_American,3703231.568,0,0,0
2025,2010,LK_ShastaCVP,CVPR_Sacramento,3699453.713,0,0,0
2030,2010,R_AmericanNFRK,R_American,3659091.642,0,0,0
2030,2010,R_AmericanSFRK,R_American,3659091.642,0,0,0
2020,2010,LK_ShastaCVP,CVPR_Sacramento,3629519.697,0,0,0
2025,2010,R_AmericanNFRK,R_American,3602622.743,0,0,0
2025,2010,R_AmericanSFRK,R_American,3602622.743,0,0,0
2015,2010,LK_ShastaCVP,CVPR_Sacramento,3574550.798,0,0,0
2035,2010,CVPR_Sacramento,R_Sacramento,3551775.249,0,0,0
2035,2010,R_American,R_Sacramento,3551775.249,0,0,0
2035,2010,R_Feather,R_Sacramento,3551775.249,0,0,0
2020,2010,R_AmericanNFRK,R_American,3534709.611,0,0,0
2020,2010,R_AmericanSFRK,R_American,3534709.611,0,0,0
2030,2010,CVPR_Sacramento,R_Sacramento,3508494.997,0,0,0
2030,2010,R_American,R_Sacramento,3508494.997,0,0,0
2030,2010,R_Feather,R_Sacramento,3508494.997,0,0,0
2015,2010,R_AmericanNFRK,R_American,3499484.42,0,0,0
2015,2010,R_AmericanSFRK,R_American,3499484.42,0,0,0
2025,2010,CVPR_Sacramento,R_Sacramento,3463316.583,0,0,0
2025,2010,R_American,R_Sacramento,3463316.583,0,0,0
2025,2010,R_Feather,R_Sacramento,3463316.583,0,0,0
2010,2010,R_AmericanMFRK,R_AmericanNFRK,3426544.9,0,0,0
2020,2010,CVPR_Sacramento,R_Sacramento,3406903.392,0,0,0
2020,2010,R_American,R_Sacramento,3406903.392,0,0,0
2020,2010,R_Feather,R_Sacramento,3406903.392,0,0,0
2015,2010,CVPR_Sacramento,R_Sacramento,3364845.302,0,0,0
2015,2010,R_American,R_Sacramento,3364845.302,0,0,0
2015,2010,R_Feather,R_Sacramento,3364845.302,0,0,0
2010,2010,LK_ShastaCVP,CVPR_Sacramento,3278055.194,0,0,0
2010,2010,R_AmericanNFRK,R_American,3198949.091,0,0,0
2010,2010,R_AmericanSFRK,R_American,3198949.091,0,0,0
2010,2010,CVPR_Sacramento,R_Sacramento,3114859.257,0,0,0
2010,2010,R_American,R_Sacramento,3114859.257,0,0,0
2010,2010,R_Feather,R_Sacramento,3114859.257,0,0,0
2010,2010,1807217IMP,1807217PD,2023027,0,44,0
2035,2010,R_Sacramento,SFBayDelta,1965798.729,0,0,0
2030,2010,R_Sacramento,SFBayDelta,1940267.609,0,0,0
2025,2010,R_Sacramento,SFBayDelta,1906262.578,0,0,0
2020,2010,R_Sacramento,SFBayDelta,1868303.537,0,0,0
2015,2010,R_Sacramento,SFBayDelta,1836581.972,0,0,0
2010,2010,R_Sacramento,SFBayDelta,1668196.472,0,0,0
2035,2010,Lk_OrovilleSWP,SW1802SWP01,1587253.879,0,0,0
2035,2010,SW1802SWP01,SW1802SWP02,1587253.879,0,0,0
2035,2010,R_Feather,SWPR_Feather,1577162.98,0,0,0
2035,2010,SWPR_Feather,SWPR_Sacramento,1577162.98,0,0,0
2035,2010,R_Sacramento,SWPR_Sacramento,1577162.98,0,0,0
2035,2010,SWPR_Sacramento,SWP_SFBayDelta,1577162.98,0,0,0
2035,2010,SFBayDelta,SWP_SFBayDelta,1577162.98,0,0,0
2035,2010,SW1802SWP02,SWPR_Feather,1577162.98,0,0,0
2030,2010,Lk_OrovilleSWP,SW1802SWP01,1568954.55,0,0,0
2030,2010,SW1802SWP01,SW1802SWP02,1568954.55,0,0,0
2030,2010,R_Feather,SWPR_Feather,1559981.06,0,0,0
2030,2010,SWPR_Feather,SWPR_Sacramento,1559981.06,0,0,0
2030,2010,R_Sacramento,SWPR_Sacramento,1559981.06,0,0,0
2030,2010,SWPR_Sacramento,SWP_SFBayDelta,1559981.06,0,0,0
2030,2010,SFBayDelta,SWP_SFBayDelta,1559981.06,0,0,0
2030,2010,SW1802SWP02,SWPR_Feather,1559981.06,0,0,0
2025,2010,Lk_OrovilleSWP,SW1802SWP01,1556837.276,0,0,0
2025,2010,SW1802SWP01,SW1802SWP02,1556837.276,0,0,0
2025,2010,R_Feather,SWPR_Feather,1549033.981,0,0,0
2025,2010,SWPR_Feather,SWPR_Sacramento,1549033.981,0,0,0
2025,2010,R_Sacramento,SWPR_Sacramento,1549033.981,0,0,0
2025,2010,SWPR_Sacramento,SWP_SFBayDelta,1549033.981,0,0,0
2025,2010,SFBayDelta,SWP_SFBayDelta,1549033.981,0,0,0
2025,2010,SW1802SWP02,SWPR_Feather,1549033.981,0,0,0
2020,2010,Lk_OrovilleSWP,SW1802SWP01,1537925.617,0,0,0
2020,2010,SW1802SWP01,SW1802SWP02,1537925.617,0,0,0
2020,2010,R_Feather,SWPR_Feather,1531120.65,0,0,0
2020,2010,SWPR_Feather,SWPR_Sacramento,1531120.65,0,0,0
2020,2010,R_Sacramento,SWPR_Sacramento,1531120.65,0,0,0
2020,2010,SWPR_Sacramento,SWP_SFBayDelta,1531120.65,0,0,0
2020,2010,SFBayDelta,SWP_SFBayDelta,1531120.65,0,0,0
2020,2010,SW1802SWP02,SWPR_Feather,1531120.65,0,0,0
2015,2010,Lk_OrovilleSWP,SW1802SWP01,1528607.618,0,0,0
2015,2010,SW1802SWP01,SW1802SWP02,1528607.618,0,0,0
2035,2010,SWP_SFBayDelta,SW1804SWP06,1523197.829,0,0,0
2015,2010,R_Feather,SWPR_Feather,1521960.695,0,0,0
2015,2010,SWPR_Feather,SWPR_Sacramento,1521960.695,0,0,0
2015,2010,R_Sacramento,SWPR_Sacramento,1521960.695,0,0,0
2015,2010,SWPR_Sacramento,SWP_SFBayDelta,1521960.695,0,0,0
2015,2010,SFBayDelta,SWP_SFBayDelta,1521960.695,0,0,0
2015,2010,SW1802SWP02,SWPR_Feather,1521960.695,0,0,0
2030,2010,SWP_SFBayDelta,SW1804SWP06,1506008.077,0,0,0
2025,2010,SWP_SFBayDelta,SW1804SWP06,1495977.001,0,0,0
2020,2010,SWP_SFBayDelta,SW1804SWP06,1479123.611,0,0,0
2015,2010,SWP_SFBayDelta,SW1804SWP06,1472206.891,0,0,0
2010,2010,Lk_OrovilleSWP,SW1802SWP01,1452262.051,0,0,0
2010,2010,SW1802SWP01,SW1802SWP02,1452262.051,0,0,0
2010,2010,R_Feather,SWPR_Feather,1446662.785,0,0,0
2010,2010,SWPR_Feather,SWPR_Sacramento,1446662.785,0,0,0
2010,2010,R_Sacramento,SWPR_Sacramento,1446662.785,0,0,0
2010,2010,SWPR_Sacramento,SWP_SFBayDelta,1446662.785,0,0,0
2010,2010,SFBayDelta,SWP_SFBayDelta,1446662.785,0,0,0
2010,2010,SW1802SWP02,SWPR_Feather,1446662.785,0,0,0
2010,2010,SWP_SFBayDelta,SW1804SWP06,1397555.58,0,0,0
2035,2010,SW1804SWP10,SW1803SWP16,1305229.205,148.7194987,0,0
2035,2010,SW1803SWP16,SW1803SWP17,1300272.697,281.9855014,0,0
2035,2010,SW1803SWP17,SW1803SWP18,1300272.697,302.5693283,0,0
2030,2010,SW1804SWP10,SW1803SWP16,1294431.309,147.8235125,0,0
2025,2010,SW1804SWP10,SW1803SWP16,1289670.403,147.9712252,0,0
2030,2010,SW1803SWP16,SW1803SWP17,1289545.406,277.1774508,0,0
2030,2010,SW1803SWP17,SW1803SWP18,1289545.406,297.7904081,0,0
2035,2010,SW1803SWP18,SW1803SWP19,1288289.767,687.5451032,0,0
2025,2010,SW1803SWP16,SW1803SWP17,1284790.082,277.8186341,0,0
